qid,10,20,40,90,180,inversions
100_0,0,0,0,0,0,0
1020_0,0,1,0,1,1,1
1023_0,1,0,0,1,1,2
1033_0,1,1,1,1,1,0
106_0,1,1,1,1,1,0
1099_0,0,0,0,0,1,0
109_0,1,1,1,1,1,0
10_0,0,0,0,0,0,0
1110_0,1,1,1,1,1,0
1112_0,1,1,1,1,1,0
1113_0,1,1,1,1,1,0
1116_0,1,1,1,1,1,0
1120_0,1,1,1,1,1,0
1128_0,1,1,1,1,1,0
1130_0,1,0,1,1,1,1
1139_0,1,1,1,1,1,0
1140_0,0,0,0,0,0,0
1167_0,1,1,1,1,1,0
119_0,1,1,1,1,1,0
1206_0,1,1,1,1,1,0
120_0,0,0,1,1,1,0
1224_0,0,0,0,0,0,0
1237_0,0,1,1,1,1,0
1245_0,1,1,1,1,1,0
1249_0,0,0,0,0,0,0
1256_0,1,1,1,1,1,0
1270_0,1,1,1,1,1,0
1287_0,1,1,1,1,1,0
1293_0,1,1,1,1,1,0
1324_0,0,0,0,0,0,0
132_0,1,1,1,1,1,0
1346_0,1,1,1,1,1,0
1347_0,1,1,1,1,1,0
1348_0,1,1,1,1,1,0
134_0,0,0,0,0,0,0
1356_0,0,0,0,0,0,0
1360_0,0,0,1,1,1,0
1366_0,1,1,1,1,1,0
1374_0,0,0,0,0,0,0
1379_0,0,0,0,0,0,0
1390_0,0,0,1,1,1,0
1392_0,0,0,0,0,0,0
1394_0,1,1,1,1,1,0
1398_0,1,0,1,1,1,1
13_0,1,1,1,0,0,6
1404_0,0,0,0,0,0,0
1409_0,1,1,1,1,1,0
143_0,0,0,0,0,0,0
144_0,1,1,1,1,1,0
1463_0,0,0,0,1,1,0
1469_0,1,1,1,1,1,0
1479_0,1,1,1,1,1,0
147_0,0,0,0,0,0,0
1489_0,1,1,1,1,1,0
1490_0,0,0,0,0,0,0
1496_0,0,0,0,0,0,0
149_0,1,0,1,0,1,3
1517_0,0,0,0,0,1,0
1520_0,0,0,0,0,0,0
1522_0,1,1,1,1,1,0
1526_0,0,0,0,0,0,0
152_0,0,0,0,1,1,0
1541_0,1,1,1,1,1,0
1558_0,0,0,0,0,0,0
1565_0,0,1,1,1,1,0
1574_0,1,1,1,0,0,6
1583_0,0,1,1,1,1,0
1593_0,0,0,0,0,0,0
1597_0,1,1,1,1,1,0
1599_0,1,1,1,1,1,0
15_0,1,1,1,1,1,0
1621_0,1,0,1,1,0,4
1624_0,0,0,0,0,0,0
1638_0,1,1,1,1,1,0
163_0,0,0,0,0,0,0
1649_0,1,1,1,1,1,0
1655_0,0,1,1,1,1,0
1682_0,0,0,0,0,0,0
1690_0,0,0,0,0,0,0
1716_0,0,1,1,1,1,0
1721_0,0,0,0,0,0,0
1722_0,1,1,1,1,1,0
1728_0,1,1,1,1,1,0
1731_0,1,1,1,1,1,0
1755_0,0,0,0,0,1,0
175_0,1,1,1,1,1,0
1768_0,1,0,1,1,1,1
1771_0,1,1,1,1,1,0
1785_0,1,1,1,1,1,0
17_0,1,1,1,1,1,0
1802_0,0,0,0,0,0,0
1830_0,1,1,1,1,1,0
1836_0,1,1,1,1,1,0
1852_0,0,0,0,0,0,0
1872_0,1,1,1,1,1,0
1879_0,0,0,0,0,0,0
1882_0,1,1,1,1,1,0
1887_0,1,1,0,0,0,6
1891_0,0,1,1,1,1,0
190_0,1,1,1,1,1,0
1915_0,1,1,1,1,1,0
191_0,0,0,0,0,0,0
1920_0,0,0,0,0,1,0
1929_0,0,0,0,0,0,0
1939_0,1,1,1,1,1,0
194_0,0,1,0,1,1,1
1960_0,1,1,1,1,1,0
1964_0,0,0,0,1,1,0
1969_0,1,1,1,1,1,0
1997_0,0,0,0,0,0,0
2000_0,0,0,0,0,0,0
2008_0,0,0,0,0,0,0
2011_0,1,1,1,1,1,0
2024_0,0,0,0,0,0,0
2049_0,1,1,1,1,1,0
204_0,1,1,1,1,1,0
2058_0,0,0,0,1,1,0
